id,menuItemName,rawMaterialName,quantity,cost
1,MARGHERITA,ROTI PIZZA,1.0,1.7518
2,MARGHERITA,TOMATO SOS BASE,108.0,0.7748254328197961
3,MARGHERITA,MOZZARELLA CHEESE,120.0,4.608
4,MARGHERITA,TOMATO CHERRY,22.0,0.55
5,MARGHERITA,BASIL,3.0,0.30000000000000004
6,VEGE,ROTI PIZZA,1.0,1.7518
7,VEGE,TOMATO SOS BASE,108.0,0.7748254328197961
8,VEGE,MOZZARELLA CHEESE,120.0,4.608
9,VEGE,TOMATO CHERRY,22.0,0.55
10,VEGE,CAPSICUM,27.0,0.27
11,VEGE,MUSHROOM,15.0,0.3571428571428571
12,VEGE,BAWANG MERAH,30.0,0.15
13,VEGE,NENAS,36.0,0.16199999999999998
14,VEGE,BLACK OLIVE,8.0,0.35294117647058826
15,BEEF PEPPERONI,ROTI PIZZA,1.0,1.7518
16,BEEF PEPPERONI,TOMATO SOS BASE,108.0,0.7748254328197961
17,BEEF PEPPERONI,BEEF PEPPERONI,43.0,2.0855
18,BEEF PEPPERONI,MOZZARELLA CHEESE,120.0,4.608
19,CHICKEN PEPPERONI,ROTI PIZZA,1.0,1.7518
20,CHICKEN PEPPERONI,TOMATO SOS BASE,108.0,0.7748254328197961
21,CHICKEN PEPPERONI,CHICKEN PEPPERONI,47.0,1.8094999999999999
22,CHICKEN PEPPERONI,MOZZARELLA CHEESE,120.0,4.608
23,HAWAIIAN CHICKEN,ROTI PIZZA,1.0,1.7518
24,HAWAIIAN CHICKEN,TOMATO SOS BASE,108.0,0.7748254328197961
25,HAWAIIAN CHICKEN,AYAM HERBA,130.0,0.1493936011904762
26,HAWAIIAN CHICKEN,MOZZARELLA CHEESE,120.0,4.608
27,HAWAIIAN CHICKEN,NENAS,40.0,0.18
28,SPICY CHICKEN MUSHROOM,ROTI PIZZA,1.0,1.7518
29,SPICY CHICKEN MUSHROOM,TOMATO SOS BASE,108.0,0.7748254328197961
30,SPICY CHICKEN MUSHROOM,AYAM HERBA,130.0,0.1493936011904762
31,SPICY CHICKEN MUSHROOM,MOZZARELLA CHEESE,120.0,4.608
