id,preCookName,rawMaterialName,quantity,cost
1,ROTI PIZZA,TEPUNG HIGH PROTEIN,2000.0,8.6
2,ROTI PIZZA,MAURIPAN,50.0,1.25
3,ROTI PIZZA,PELEMBUT ROTI,20.0,0.4
4,ROTI PIZZA,MAGI PRO,20.0,0.48
5,ROTI PIZZA,SHORTENING,280.0,3.6399999999999997
6,ROTI PIZZA,GARAM - BM,22.0,0.066
7,ROTI PIZZA,GULA - BM,150.0,0.6
9,ROTI PIZZA,PER SERVING,180.0,
11,ROTI BUN,TEPUNG HIGH PROTEIN,2000.0,8.6
12,ROTI BUN,MAURIPAN,50.0,1.25
13,ROTI BUN,PELEMBUT ROTI,20.0,0.4
14,ROTI BUN,MAGI PRO,20.0,0.48
15,ROTI BUN,SHORTENING,280.0,3.6399999999999997
16,ROTI BUN,GARAM - BM,22.0,0.066
17,ROTI BUN,GULA - BM,150.0,0.6
19,ROTI BUN,PER SERVING,80.0,
21,AYAM HERBA,AYAM BB,24000.0,288.0
22,AYAM HERBA,BAWANG PUTIH,200.0,1.7999999999999998
23,AYAM HERBA,BAWANG MERAH,800.0,4.0
24,AYAM HERBA,CILI SOS KIMBALL - BM,1000.0,4.2
25,AYAM HERBA,SOS TIRAM PUTERI - BM,400.0,0.7619047619047619
26,AYAM HERBA,GARAM - BM,68.0,0.20400000000000001
27,AYAM HERBA,GULA - BM,150.0,0.6
28,AYAM HERBA,AJINOMOTO - BM,17.0,0.221
29,AYAM HERBA,MIX HERB,60.0,5.76
30,AYAM HERBA,BAY LEAVES,10.0,0.8400000000000001
32,AYAM HERBA,PER SERVING,1.0,
34,BOLOGNESE,DAGING CINCANG,10000.0,170.0
35,BOLOGNESE,BAWANG PUTIH,200.0,1.7999999999999998
36,BOLOGNESE,CELERY,1000.0,5.0
37,BOLOGNESE,TOMATO,10000.0,60.0
38,BOLOGNESE,BAWANG MERAH,1000.0,5.0
39,BOLOGNESE,CILI SOS KIMBALL - BM,2000.0,8.4
40,BOLOGNESE,TOMATO SOS KIMBALL - BM,1000.0,4.3
41,BOLOGNESE,SOS TIRAM PUTERI - BM,500.0,0.9523809523809523
42,BOLOGNESE,GARAM - BM,34.0,0.10200000000000001
43,BOLOGNESE,GULA - BM,190.0,0.76
44,BOLOGNESE,AJINOMOTO - BM,8.5,0.1105
45,BOLOGNESE,CILI SERBUK BABAS - BM,100.0,2.0
46,BOLOGNESE,MIX HERB,55.0,5.28
47,BOLOGNESE,BAY LEAVES,10.0,0.8400000000000001
49,BOLOGNESE,PER SERVING,1.0,
50,WHITE SOS,CHEDDAR SHREDDED,250.0,12.5
51,WHITE SOS,FULL CREAM MILK,1500.0,10.5
52,WHITE SOS,GARAM - BM,8.5,0.025500000000000002
53,WHITE SOS,TEPUNG GANDUM - BM,31.0,0.124
55,WHITE SOS,PER SERVING,1.0,
56,GARLIC BUTTER,BAWANG PUTIH,100.0,0.8999999999999999
57,GARLIC BUTTER,BUTTER,250.0,5.0
58,GARLIC BUTTER,PARSLEY,3.0,0.15000000000000002
60,GARLIC BUTTER,PER SERVING,1.0,
61,SERBUK AGLIO – PROCESS,GARAM - BM,130.0,0.39
62,SERBUK AGLIO – PROCESS,GULA - BM,200.0,0.8
63,SERBUK AGLIO – PROCESS,AJINOMOTO - BM,100.0,1.3
64,SERBUK AGLIO – PROCESS,CILI FLAKES,140.0,4.2
65,SERBUK AGLIO – PROCESS,PARSLEY,40.0,2.0
67,SERBUK AGLIO – PROCESS,PER SERVING,1.0,
68,TOMATO SOS BASE,TOMATO SOS KIMBALL - BM,500.0,2.15
69,TOMATO SOS BASE,TOMATO PUREE - BM,200.0,1.0
70,TOMATO SOS BASE,GARAM - BM,10.0,0.03
71,TOMATO SOS BASE,GULA - BM,50.0,0.2
72,TOMATO SOS BASE,AJINOMOTO - BM,5.0,0.065
73,TOMATO SOS BASE,PER SERVING,1.0,
74,BLACK PEPPER SOS,BLACK PEPPER CORN,50.0,4.5
75,BLACK PEPPER SOS,BAWANG PUTIH,100.0,0.9
76,BLACK PEPPER SOS,BUTTER,100.0,2.0
77,BLACK PEPPER SOS,FULL CREAM MILK,500.0,3.5
78,BLACK PEPPER SOS,GARAM - BM,15.0,0.045
79,BLACK PEPPER SOS,PER SERVING,1.0,
80,MUSHROOM SOUP,CREAM OF MUSHROOM,500.0,12.5
81,MUSHROOM SOUP,FULL CREAM MILK,300.0,2.1
82,MUSHROOM SOUP,BUTTER,50.0,1.0
83,MUSHROOM SOUP,GARAM - BM,10.0,0.03
84,MUSHROOM SOUP,PER SERVING,1.0,
85,SPICY CHICKEN WINGS,DRUMMET AYAM GIANT,500.0,11.176470588235293
86,SPICY CHICKEN WINGS,CILI SERBUK BABAS - BM,50.0,1.0
87,SPICY CHICKEN WINGS,GARAM - BM,20.0,0.06
88,SPICY CHICKEN WINGS,GULA - BM,30.0,0.12
89,SPICY CHICKEN WINGS,AJINOMOTO - BM,10.0,0.13
90,SPICY CHICKEN WINGS,PER SERVING,1.0,
91,BBQ CHICKEN WINGS,DRUMMET AYAM GIANT,500.0,11.176470588235293
92,BBQ CHICKEN WINGS,BBQ SOS KIMBALL,200.0,1.6
93,BBQ CHICKEN WINGS,GARAM - BM,20.0,0.06
94,BBQ CHICKEN WINGS,GULA - BM,30.0,0.12
95,BBQ CHICKEN WINGS,AJINOMOTO - BM,10.0,0.13
96,BBQ CHICKEN WINGS,PER SERVING,1.0,
