id,name,category,packageWeight,packagePrice,unitPrice,unit,outQty,costUsage
1,AYAM BB,FROZEN,1000.0,12.0,0.012,gram,0.0,0.0
2,KEPAK AYAM,FROZEN,1000.0,16.0,0.016,gram,0.0,0.0
3,DAGING CINCANG,FROZEN,1000.0,17.0,0.017,gram,0.0,0.0
4,BEEF PEPPERONI,FROZEN,1000.0,48.5,0.0485,gram,2025.0,98.2125
5,CHICKEN PEPPERONI,FROZEN,1000.0,38.5,0.0385,gram,1483.0,57.0955
6,BEEF SALAMI,FROZEN,1000.0,35.0,0.035,gram,425.0,14.875000000000002
7,SOSEJ,FROZEN,340.0,4.0,0.011764705882352941,gram,1316.0,15.48235294117647
8,STREAKY BEEF,FROZEN,1000.0,57.5,0.0575,gram,805.0,46.2875
9,LAMB – PROCESS,FROZEN,1000.0,38.0,0.038,gram,560.0,21.28
10,CHICKEN CHOP,FROZEN,2.0,12.8,6.4,gram,22.0,140.8
11,UDANG,FROZEN,1000.0,40.0,0.04,gram,2162.0,86.48
12,SOTONG,FROZEN,1000.0,35.0,0.035,gram,582.0,20.37
13,CRAB STICK,FROZEN,500.0,7.0,0.014,gram,264.0,3.696
14,CHICKEN SLICE,FROZEN,500.0,12.0,0.024,gram,270.0,6.48
15,SHRIMP,FROZEN,24.0,37.0,1.5416666666666667,gram,9.0,13.875
16,LOBSTER,FROZEN,10.0,43.0,4.3,gram,0.0,0.0
17,BEEF MEAT BALL,FROZEN,1000.0,16.0,0.016,gram,72.0,1.1520000000000001
18,DRUMMET AYAM GIANT,FROZEN,850.0,19.0,0.02235294117647059,gram,36.0,0.8047058823529412
19,CHICKEN POPCORN,FROZEN,1000.0,25.3,0.0253,gram,0.0,0.0
20,SHOESTRING FRIES,FROZEN,1000.0,10.5,0.0105,gram,8600.0,90.30000000000001
21,CURLY FRIES,FROZEN,1000.0,25.0,0.025,gram,4000.0,100.0
22,VANILA ICECREAM,FROZEN,1500.0,8.0,0.005333333333333333,gram,0.0,0.0
23,MOZZARELLA CHEESE,CHEESE,1000.0,38.4,0.0384,gram,34678.0,1331.6352
24,CHEDDAR SHREDDED,CHEESE,1000.0,50.0,0.05,gram,90.0,4.5
25,PARMESAN,CHEESE,1000.0,57.0,0.057,gram,6.0,0.342
